Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
12182,,,Green Tea,20 Bag,12 Outer,$3.42,$41.04
12183,,,Lemon and Ginger Tea,20 Bag,12 Outer,$3.42,$41.04
12184,,,Nettle Tea,20 Bag,12 Outer,$3.42,$41.04
12186,,,Raspberry Leaf Tea,20 Bag,12 Outer,$3.42,$41.04
12187,,,Rooibos Tea,20 Bag,12 Outer,$3.42,$41.04
12188,,,White Tea,20 Bag,12 Outer,$3.42,$41.04
,,,Planet,,,,
12367,,,Antiox Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
10661,,,Bedtime Tea,25 Bag,Ctn 6,$4.05,$24.30
12368,,,Breathe Deep Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
10662,,,Calming Tea,25 Bag,Ctn 6,$4.05,$24.30
11620,,,Chai Spice Tea,50 Bag,Ctn 6,$6.37,$38.22
10241,,,Chai Spice Tea,25 Bag,Ctn 6,$4.05,$24.30
11621,,,Chamomile Tea,50 Bag,Ctn 6,$5.21,$31.26
10283,,,Chamomile Tea,25 Bag,Ctn 6,$3.18,$19.08
12369,,,Cinnamon Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
10242,,,Darjeeling Tea,25 Bag,Ctn 6,$4.05,$24.30
11168,,,Detox Tea,25 Bag,Ctn 6,$4.05,$24.30
12035,,,Digest Tea,25 Bag,Ctn 6,$4.72,$28.32
10239,,,Earl Grey Tea,25 Bag,Ctn 6,$4.05,$24.30
10276,,,Echinacea W Green Tea,25 Bag,Ctn 6,$4.05,$24.30
12033,,,Energy Tea,25 Bag,Ctn 6,$4.72,$28.32
11618,,,English Breakfast Tea,50 Bag,Ctn 6,$5.21,$31.26
10240,,,English Breakfast Tea,25 Bag,Ctn 6,$3.18,$19.08
10526,,,English Breakfast Tea (Loose Leaf),125g,Ctn 6,$5.79,$34.74
11169,,,Female Balance Tea,25 Bag,Ctn 6,$4.05,$24.30
12371,,,Genmaicha Tea,25 Bag,Ctn 6,$5.79,$34.74
10660,,,Ginger Tea,25 Bag,Ctn 6,$4.05,$24.30
10647,,,Ginkgo W Green Tea,25 Bag,Ctn 6,$4.05,$24.30
10928,,,Ginseng Plus Tea,25 Bag,Ctn 6,$4.05,$24.30
11090,,,Green Chai Tea,25 Bag,Ctn 6,$4.05,$24.30
12370,,,Green Decaffeinated Tea,25 Bag,Ctn 6,$4.05,$24.30
11619,,,Green Tea,50 Bag,Ctn 6,$5.21,$31.26
10285,,,Green Tea,25 Bag,Ctn 6,$3.18,$19.08
10525,,,Green Tea (Loose Leaf),125g,Ctn 6,$5.79,$34.74
12372,,,Hojicha Tea,25 Bag,Ctn 6,$5.79,$34.74
11402,,,Jasmine Green Tea,25 Bag,Ctn 6,$4.05,$24.30
12373,,,Kukicha Tea,25 Bag,Ctn 6,$5.79,$34.74
11200,,,Lemongrass Tea,25 Bag,Ctn 6,$4.05,$24.30
11091,,,Licorice Tea,25 Bag,Ctn 6,$4.05,$24.30
12031,,,Mental Focus Tea,25 Bag,Ctn 6,$4.72,$28.32
12374,,,Moringa Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
11400,,,Nettle Tea,25 Bag,Ctn 6,$4.05,$24.30
12119,,,Oolong Tea,25 Bag,Ctn 6,$4.05,$24.30
11622,,,Peppermint Tea,50 Bag,Ctn 6,$5.21,$31.26
10275,,,Peppermint Tea,25 Bag,Ctn 6,$3.18,$19.08
12375,,,PMT Herbal Blend,25 Bag,Ctn 6,$4.05,$24.30
12376,,,Red Chai Tea,25 Bag,Ctn 6,$4.05,$24.30
12377,,,Refresh Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
10961,,,Rooibos Tea,25 Bag,Ctn 6,$4.05,$24.30
12070,,,Rooibos Tea (Loose Leaf),100g,Ctn 6,$5.79,$34.74
11199,,,Rosehip Hibiscus Tea,25 Bag,Ctn 6,$4.05,$24.30
10728,,,Sabtu Tea,25 Bag,Ctn 6,$4.35,$26.10
12378,,,Sencha Tea,25 Bag,Ctn 6,$5.79,$34.74
11401,,,Spearmint Tea,25 Bag,Ctn 6,$4.05,$24.30
10565,,,St Johns Wort Tea,25 Bag,Ctn 6,$4.05,$24.30
12380,,,Turmeric Herbal Tea,25 Bag,Ctn 6,$4.05,$24.30
10930,,,White Tea,25 Bag,Ctn 6,$4.05,$24.30
11167,,,Wintertime Tea,25 Bag,Ctn 6,$4.05,$24.30
12038,,,Yerba Mate Tea,25 Bag,Ctn 6,$4.72,$28.32
,,,Pukka,,,,
11816,,,After Dinner Tea,20 Bag,6 Outer,$5.76,$34.56
12288,,,Clean Green Tea,20 Bag,6 Outer,$5.76,$34.56
11817,,,Cleanse Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
11818,,,Detox Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
12282,,,Detox with Lemon Tea,20 Bag,6 Outer,$5.76,$34.56
12286,,,Elderberry and Echinacea Tea,20 Bag,6 outer,$5.76,$34.56
12214,,,Elegant English Breakfast Tea,20 Bag,6 Outer,$5.76,$34.56
12285,,,Lemon and Mandarin Tea,20 Bag,6 outer,$5.76,$34.56
11998,,,Lemongrass & Ginger Tea,20 Bag,6 Outer,$5.76,$34.56
11827,,,Licorice & Cinnamon Tea,20 Bag,6 Outer,$5.76,$34.56
12195,,,Lively English Breakfast Tea with Ginseng,20 Bag,6 Outer,$5.76,$34.56
11819,,,Love Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
11820,,,Night Time Tea,20 Bag,6 Outer,$5.76,$34.56
12284,,,Original Chai Tea,20 Bag,6 Outer,$5.76,$34.56
12109,,,Peppermint and Licorice Tea,20 Bag,6 Outer,$5.76,$34.56
11821,,,Refresh Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
11822,,,Relax Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
11823,,,Revitalise Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
12260,,,Rooibos and Honey Bush Tea,20 Bag,6 Outer,$5.76,$34.56
12289,,,Supreme Matcha Tea,20 Bag,6 Outer,$5.76,$34.56
12287,,,Three Cinnamon Tea,20 Bag,6 Outer,$5.76,$34.56
12172,,,Three Fennel Tea,20 Bag,6 Outer,$5.76,$34.56
11824,,,Three Ginger Tea,20 Bag,6 Outer,$5.76,$34.56
11825,,,Three Mint Tea,20 Bag,6 Outer,$5.76,$34.56
12108,,,Three Tulsi Herbal Tea,20 Bag,6 Outer,$5.76,$34.56
12107,,,Vanilla Chai Tea,20 Bag,6 Outer,$5.76,$34.56
12283,,,Womankind Tea,20 Bag,6 Outer,$5.76,$34.56
,,,Traditional Medicinals,,,,
30768,,,Echinacea Plus Tea,16 Bag,6 Outer,$7.24,$43.44
30766,,,Everyday Detox Tea,16 Bag,6 Outer,$7.24,$43.44
30774,,,Ginger Aid Tea,16 Bag,6 Outer,$7.24,$43.44
31767,,,Lemon Everyday Detox Herb Tea,16 Bag,6 Outer,$7.24,$43.44
30779,,,Mothers Milk Herb Tea,16 Bag,6 Outer,$7.24,$43.44
11390,,,Nettle Leaf Tea,16 Bag,6 Outer,$7.24,$43.44
30777,,,Nighty Night Herb Tea,16 Bag,6 Outer,$7.24,$43.44
31274,,,Peppermint Tea,16 Bag,6 Outer,$7.24,$43.44
30772,,,Pregnancy Herb Tea,16 Bag,6 Outer,$7.24,$43.44
30773,,,Raspberry Leaf Tea,16 Bag,6 Outer,$7.24,$43.44
30771,,,Smooth Move Herb Tea,16 Bag,6 Outer,$7.24,$43.44
30778,,,Throat Coat Herb Tea,16 Bag,6 Outer,$7.24,$43.44
,,,Yogi Beverage Tea,,,,
10858,,,Black Chai Tea,16 Bag,6 Outer,$5.76,$34.56
10228,,,Classic India Spice Tea,16 Bag,6 Outer,$5.76,$34.56
10903,,,Egyptian Licorice Tea,16 Bag,6 Outer,$5.76,$34.56
10294,,,Mayan Cocoa Spice Tea,16 Bag,6 Outer,$5.76,$34.56
